species;speciesKey;lat;lon;HFP09;Elevation;continents;Status;IUCNonly;time_period
Epidendrum oxysepalum;5952024;8.1372;-71.9856;31.0;1426.0;{'SOUTHERN AMERICA'};EXT;False;2061/2080
Epidendrum poeppigii;5320987;-5.4225;-78.5861;6.01349830627441;1637.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Epidendrum pseudosarcoglottis;5952081;-0.5;-77.87;11.0010070800781;1963.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Epidendrum vidal-senegei;5320384;-3.6603;-79.2703;13.6295480728149;2983.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Epidendrum weberbauerianum;5319678;-9.5;-75.8333;4.25069570541382;2219.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Epistephium amabile;2850043;-10.55;-75.57;2.25081515312195;2661.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Eria triloba;2815266;3.4689;114.5464;8.66132068634033;245.0;{'ASIA-TROPICAL'};EXT;False;2081/2100
Eulophia brevipetala;5311835;9.222666666666667;3.9751;19.35589663187663;295.0;{'AFRICA'};EXT;False;2041/2060
Fernandezia denticulata;5306018;-9.1638;-74.3756;1.21962940692902;165.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Gastrodia africana;2813343;3.6125;10.717525;8.291231274604797;807.5;{'AFRICA'};EXT;True;2041/2060
Genyorchis platybulbon;2818079;3.336116666666667;10.211116666666667;11.880048592885329;268.3333333333333;{'AFRICA'};EXT;True;2041/2060
Habenaria barrina;2828906;5.0586;13.144099999999998;15.125011086463928;317.0;{'AFRICA'};EXT;False;2041/2060
Habenaria batesii;8488208;3.6488666666666667;9.8198;7.112873872121177;816.0;{'AFRICA'};EXT;True;2041/2060
Habenaria bequaertii;2828685;0.466;29.81866;7.906452274322507;1732.6;{'AFRICA'};EXT;False;2041/2060
Habenaria bongensium;2829886;8.8099875;7.5367125;12.148022174835202;787.75;{'AFRICA'};EXT;False;2041/2060
Habenaria bosseriana;2829766;5.48;10.440000000000001;10.778608798980715;1354.5;{'AFRICA'};EXT;False;2041/2060
Habenaria ligulata;2829701;-13.15;-72.5078;21.2814521789551;3148.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Habenaria linguiformis;2829320;9.8333;8.4;15.0;770.0;{'AFRICA'};EXT;False;2041/2060
Habenaria longirostris;2828738;9.299227272727272;9.1416;14.309211210771037;614.0;{'AFRICA'};EXT;False;2041/2060
Habenaria mannii;2829272;5.806140909090909;9.742904545454545;10.139166723598132;1602.5;{'AFRICA'};EXT;False;2041/2060
Habenaria microceras;2828504;5.499716666666667;9.97465;8.590094248453774;2439.5;{'AFRICA'};EXT;True;2041/2060
Habenaria nigerica;2828563;10.6519;6.5764;13.3394660949707;430.0;{'AFRICA'};EXT;False;2041/2060
Habenaria nigrescens;2828525;5.638850000000001;10.073733333333333;10.421703020731607;1597.1666666666667;{'AFRICA'};EXT;True;2041/2060
Habenaria obovata;2829792;5.2014;9.8106;7.938791513442992;2586.75;{'AFRICA'};EXT;True;2041/2060
Habenaria schomburgkii;8705062;5.8333;-61.5;4.0;1373.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Habenaria thomana;2828463;2.454075;8.088291666666667;8.136507550875349;884.25;{'AFRICA'};EXT;True;2041/2060
Halleorchis aspidogynoides;2818976;2.509866666666667;11.344333333333333;6.81205177307129;445.3333333333333;{'AFRICA'};EXT;False;2041/2060
Holothrix tridentata;2782014;4.2;9.18;7.25100994110107;3543.0;{'AFRICA'};EXT;False;2041/2060
Laelia marginata;5314509;-6.3489;-50.4478;2.0;741.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Lepanthes campodostele;2852066;-3.81;-78.61;2.33804368972778;1432.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Lepanthes chelonion;2851679;5.8675;-73.9271;10.0;2446.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Lepanthes gargoyla;2852006;-3.64;-78.59;13.2196292877197;821.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Lepanthes macalpinii;2851956;8.79;-82.95;16.0;1184.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Lepanthes ortegae;2851139;-3.21;-78.25;1.0;1018.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Lepanthes oscillifera;2851126;6.9482;-75.1665;17.661319732666;1760.0;{'SOUTHERN AMERICA'};EXT;False;2061/2080
Lepanthes paivaeana;2852021;-14.8228;-68.1911;1.25021421909332;1774.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Lepanthes quandi;2851814;6.9482;-75.1665;17.661319732666;1760.0;{'SOUTHERN AMERICA'};EXT;False;2061/2080
Lepanthes skeleton;2851712;6.9482;-75.1665;17.661319732666;1760.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Lepanthes triura;2851759;8.4544;-71.2397;9.28561115264893;1386.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
